seed,ey0,epsi0,controller,rmse_ey,max_abs_ey,mean_abs_delta,final_ey
1,0.2,-0.1,PID,0.021272880385640073,0.1511594870013317,0.0024269090027348146,-1.5800174607981502e-14
1,0.2,-0.1,MPC,0.009494383553896032,0.125,0.0012725044852196369,1.9046210580877745e-35
1,0.2,-0.1,SAC,0.007873976047844596,0.125,0.0014358269423246383,0.0030527040898650527
1,0.2,-0.1,Hybrid,0.007886529370725738,0.125,0.0014355348968946194,0.0029790332274102983
1,0.2,-0.05,PID,0.015889947690216316,0.1625,0.0014518100701724015,-1.2903656731607989e-15
1,0.2,-0.05,MPC,0.012314030855779227,0.1625,0.0005833547011993128,1.316710614899276e-35
1,0.2,-0.05,SAC,0.00968016603909117,0.1625,0.0018758564069867134,0.003052713467488392
1,0.2,-0.05,Hybrid,0.009791498905571624,0.1625,0.0017507506532625306,0.0029790295129930693
1,0.2,0.0,PID,0.021004836521438485,0.2,0.0016960228202231044,1.3219443261659977e-14
1,0.2,0.0,MPC,0.019483198714837256,0.2,0.0007940631303824236,7.288001717107604e-36
1,0.2,0.0,SAC,0.012707087541324795,0.2,0.0023203861713409425,0.0030527228451134696
1,0.2,0.0,Hybrid,0.012976379894150855,0.2,0.00217318894996435,0.0029790249006475425
1,0.2,0.05,PID,0.031916666476707524,0.25,0.002790547423341595,2.7729252196480672e-14
1,0.2,0.05,MPC,0.028301017742442768,0.23750000000000002,0.0015534282260654157,5.9100139695582896e-37
1,0.2,0.05,SAC,0.017419772924262684,0.23750000000000002,0.002994449883699417,0.0030527142549134382
1,0.2,0.05,Hybrid,0.017851928179387865,0.23750000000000002,0.002876880927253647,0.002979026335656874
1,0.2,0.1,PID,0.044552236337549886,0.33412433333333336,0.0041217854352155105,4.223906113130142e-14
1,0.2,0.1,MPC,0.04020411656591359,0.31856375789451535,0.0024714503494810574,-1.0367287577910185e-35
1,0.2,0.1,SAC,0.023018571662013532,0.275,0.0038519442826509477,0.003052725488694229
1,0.2,0.1,Hybrid,0.02375899444684085,0.275,0.0037241762151515824,0.002979039557679844
1,0.4,-0.1,PID,0.03177989538043263,0.325,0.002903620140344803,-2.5807313463215978e-15
1,0.4,-0.1,MPC,0.024628061711558454,0.325,0.0011667094023986256,2.633421229798552e-35
1,0.4,-0.1,SAC,0.01995632884605213,0.325,0.0027217749506235124,0.0030527063437995237
1,0.4,-0.1,Hybrid,0.020262798570824442,0.325,0.002639291737851028,0.002979037045033861
1,0.4,-0.05,PID,0.034539952645901116,0.36250000000000004,0.002823619977680128,1.1929077588499195e-14
1,0.4,-0.05,MPC,0.03129260226410959,0.36250000000000004,0.001049677856987652,2.045510786610141e-35
1,0.4,-0.05,SAC,0.023630816964663386,0.36250000000000004,0.002918449714779854,0.0030527085255326737
1,0.4,-0.05,Hybrid,0.023990816814376526,0.36250000000000004,0.002833070545384073,0.00297902473340727
1,0.4,0.0,PID,0.04200967304287697,0.4,0.003392045640446209,2.6438886523319953e-14
1,0.4,0.0,MPC,0.03907321023329677,0.4,0.0015862928202104274,1.4370178400389757e-35
1,0.4,0.0,SAC,0.02828849469350888,0.4,0.0035851745679974555,0.003052714734454262
1,0.4,0.0,Hybrid,0.028708988473321692,0.4,0.0035208461940779974,0.0029790271037373364
1,0.4,0.05,PID,0.05220512093230167,0.4375,0.004376155282003002,4.09486954581406e-14
1,0.4,0.05,MPC,0.050162672826794374,0.4375,0.0023437481603871585,3.411897151512736e-36
1,0.4,0.05,SAC,0.03399089897253712,0.4375,0.004498918764293194,0.003052723300699287
1,0.4,0.05,Hybrid,0.0346838610694965,0.4375,0.004286163312332475,0.0029790246703337146
1,0.4,0.1,PID,0.06383333295341505,0.5,0.00558109484668319,5.5458504392961343e-14
